Exterior1st,MSSubClass,Neighborhood,OverallQual,BsmtQual,HeatingQC,FullBath,TotRmsAbvGrd,GarageFinish,GarageCars,YearBuilt,GarageYrBlt,YrSold,SalePrice
VinylSd,60,CollgCr,7,Gd,Ex,2,8,RFn,2,2003,2003,2008,208500
MetalSd,20,Veenker,6,Gd,Ex,2,6,RFn,2,1976,1976,2007,181500
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,2001,2001,2008,223500
Wd Sdng,70,Crawfor,7,TA,Gd,1,7,Unf,3,1915,1998,2006,140000
VinylSd,60,NoRidge,8,Gd,Ex,2,9,RFn,3,2000,2000,2008,250000
VinylSd,50,Mitchel,5,Gd,Ex,1,5,Unf,2,1993,1993,2009,143000
VinylSd,20,Somerst,8,Ex,Ex,2,7,RFn,2,2004,2004,2007,307000
HdBoard,60,NWAmes,7,Gd,Ex,2,7,RFn,2,1973,1973,2009,200000
BrkFace,50,OldTown,7,TA,Gd,2,8,Unf,2,1931,1931,2008,129900
MetalSd,190,BrkSide,5,TA,Ex,1,5,RFn,1,1939,1939,2008,118000
HdBoard,20,Sawyer,5,TA,Ex,1,5,Unf,1,1965,1965,2008,129500
WdShing,60,NridgHt,9,Ex,Ex,3,11,Fin,3,2005,2005,2006,345000
HdBoard,20,Sawyer,5,TA,TA,1,4,Unf,1,1962,1962,2008,144000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,3,2006,2006,2007,279500
MetalSd,20,NAmes,6,TA,TA,1,5,RFn,1,1960,1960,2008,157000
Wd Sdng,45,BrkSide,7,TA,Ex,1,5,Unf,2,1929,1991,2007,132000
Wd Sdng,20,NAmes,6,TA,Ex,1,5,Fin,2,1970,1970,2010,149000
MetalSd,90,Sawyer,4,NA,TA,2,6,Unf,2,1967,1967,2006,90000
VinylSd,20,SawyerW,5,TA,Ex,1,6,Unf,2,2004,2004,2008,159000
BrkFace,20,NAmes,5,TA,TA,1,6,Unf,1,1958,1958,2009,139000
VinylSd,60,NridgHt,8,Ex,Ex,3,9,RFn,3,2005,2005,2006,325300
Wd Sdng,45,IDOTRR,7,TA,Ex,1,6,Unf,1,1930,1930,2007,139400
VinylSd,20,CollgCr,8,Gd,Ex,2,7,RFn,2,2002,2002,2008,230000
CemntBd,120,MeadowV,5,Gd,TA,1,6,Unf,2,1976,1976,2007,129900
Plywood,20,Sawyer,5,TA,Ex,1,6,Unf,1,1968,1968,2010,154000
VinylSd,20,NridgHt,8,Gd,Ex,2,7,RFn,3,2007,2007,2009,256300
Wd Sdng,20,NAmes,5,TA,TA,1,5,Unf,2,1951,2005,2010,134800
VinylSd,20,NridgHt,8,Ex,Ex,2,7,RFn,3,2007,2008,2010,306000
MetalSd,20,NAmes,5,TA,TA,1,6,RFn,1,1957,1957,2006,207500
MetalSd,30,BrkSide,4,TA,Fa,1,4,Unf,1,1927,1920,2008,68500
BrkFace,70,IDOTRR,4,TA,TA,1,6,Unf,1,1920,1920,2008,40000
HdBoard,20,Sawyer,5,TA,Gd,1,6,Unf,1,1966,1966,2008,149350
VinylSd,20,CollgCr,8,Ex,Ex,2,7,RFn,2,2007,2007,2008,179900
BrkFace,20,NAmes,5,TA,Gd,1,6,RFn,2,1959,1959,2010,165500
MetalSd,120,NridgHt,9,Ex,Ex,2,6,Fin,2,2005,2005,2007,277500
VinylSd,60,NridgHt,8,Ex,Ex,3,9,Fin,3,2004,2004,2006,309000
VinylSd,20,CollgCr,5,Gd,Ex,1,6,Unf,2,1994,1995,2009,145000
Wd Sdng,20,NAmes,5,TA,Gd,1,5,Fin,2,1954,1954,2009,153000
VinylSd,20,NAmes,5,TA,TA,1,5,Unf,1,1953,1953,2010,109000
AsbShng,90,Edwards,4,NA,TA,2,6,NA,0,1955,NA,2008,82000
Wd Sdng,20,NAmes,6,TA,Ex,2,6,RFn,2,1965,1965,2006,160000
VinylSd,20,Timber,5,TA,Gd,1,5,RFn,1,1959,1959,2007,170000
HdBoard,85,SawyerW,5,Gd,Gd,1,5,RFn,2,1983,1983,2007,144000
VinylSd,20,CollgCr,5,Gd,TA,1,5,Unf,1,1975,1977,2008,130250
BrkFace,20,NAmes,5,TA,Ex,1,6,RFn,1,1959,1959,2006,141000
MetalSd,120,NridgHt,9,Ex,Ex,2,6,RFn,2,2005,2005,2010,319900
VinylSd,50,Mitchel,7,Ex,Ex,1,6,RFn,2,2003,2003,2009,239686
VinylSd,20,Somerst,8,Gd,Ex,2,7,RFn,3,2006,2006,2007,249700
MetalSd,190,OldTown,4,TA,Gd,2,8,NA,0,1920,NA,2009,113000
HdBoard,20,Sawyer,5,TA,Ex,1,6,Unf,1,1966,1966,2007,127000
VinylSd,60,Gilbert,6,Gd,Gd,2,6,Fin,2,1997,1997,2007,177000
Wd Sdng,50,BrkSide,6,TA,TA,1,6,Unf,2,1934,1985,2006,114500
Wd Sdng,90,IDOTRR,5,Gd,TA,1,5,Unf,2,1963,1963,2010,110000
WdShing,20,Veenker,9,Ex,Gd,0,5,Fin,3,1981,1981,2006,385000
MetalSd,80,NAmes,5,TA,TA,1,6,Unf,2,1955,1962,2007,130000
HdBoard,20,NAmes,6,TA,Gd,2,7,RFn,2,1964,1964,2008,180500
MetalSd,160,Somerst,8,Gd,Ex,2,7,Fin,2,1999,1999,2009,172500
VinylSd,60,CollgCr,7,Gd,Ex,2,7,RFn,2,2004,2004,2006,196500
VinylSd,60,StoneBr,10,Ex,Ex,3,10,Fin,3,2006,2006,2006,438780
HdBoard,20,CollgCr,5,TA,Ex,1,4,Unf,1,1972,1973,2008,124900
VinylSd,20,SawyerW,6,Gd,Ex,1,5,Unf,2,2004,2006,2006,158000
MetalSd,75,IDOTRR,5,TA,TA,1,6,Unf,1,1920,1935,2007,101000
VinylSd,120,NridgHt,8,Gd,Ex,2,6,RFn,2,2006,2006,2007,202500
Stucco,70,OldTown,7,TA,Gd,2,9,Unf,2,1921,1990,2010,140000
VinylSd,60,CollgCr,7,Gd,Ex,2,8,RFn,2,1997,1998,2009,219500
VinylSd,60,NridgHt,8,Ex,Ex,2,9,RFn,3,2004,2004,2007,317000
Plywood,20,NAmes,7,Gd,TA,2,7,RFn,2,1970,1970,2010,180000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,2,2003,2003,2007,226000
MetalSd,30,OldTown,4,TA,TA,1,4,Unf,1,1945,1945,2010,80000
BrkFace,50,ClearCr,7,TA,TA,2,7,Fin,2,1953,1953,2006,225000
Plywood,20,NAmes,7,Gd,Ex,2,8,Fin,2,1973,1973,2007,244000
HdBoard,20,Mitchel,4,TA,TA,1,4,Unf,2,1982,1987,2007,129500
VinylSd,60,Gilbert,7,Gd,Gd,2,7,Fin,2,1998,1998,2009,185000
Wd Sdng,20,NAmes,5,TA,Gd,1,6,Unf,2,1954,1989,2010,144900
VinylSd,50,OldTown,3,Fa,Gd,2,8,Unf,1,1915,1915,2010,107400
CemntBd,180,MeadowV,4,Gd,TA,1,5,Unf,1,1973,1973,2009,91000
VinylSd,20,NAmes,4,TA,Ex,1,4,Unf,1,1956,1956,2008,135750
Wd Sdng,50,BrkSide,5,TA,TA,1,6,Unf,1,1948,1948,2008,127000
HdBoard,90,Sawyer,4,TA,TA,2,8,NA,0,1968,NA,2010,136500
Wd Sdng,50,OldTown,5,TA,Gd,1,5,Unf,2,1910,1966,2009,110000
VinylSd,60,NAmes,6,Gd,TA,2,8,Fin,1,1968,1968,2009,193500
VinylSd,120,Mitchel,6,Ex,Ex,2,5,Fin,2,1998,1998,2006,153500
VinylSd,20,Somerst,8,Gd,Ex,2,6,RFn,3,2007,2007,2008,245000
MetalSd,20,NAmes,5,TA,Gd,1,6,Unf,2,1960,1974,2007,126500
HdBoard,80,Gilbert,7,Gd,Gd,2,7,Fin,2,1995,1995,2009,168500
HdBoard,60,NoRidge,8,Gd,Ex,2,9,Unf,2,1991,1991,2006,260000
VinylSd,60,Gilbert,6,Gd,Ex,2,6,Fin,2,2005,2005,2009,174000
VinylSd,160,Somerst,6,Gd,Ex,2,4,RFn,2,2009,2009,2009,164500
Plywood,50,IDOTRR,3,TA,TA,1,6,NA,0,1915,NA,2009,85000
VinylSd,20,CollgCr,4,Gd,Ex,1,5,NA,0,1994,NA,2007,123600
BrkFace,20,NAmes,4,NA,TA,1,4,Unf,2,1950,1950,2006,109900
HdBoard,20,NAmes,5,TA,TA,1,6,Unf,2,1961,1961,2006,98600
Wd Sdng,30,Crawfor,5,Gd,Ex,1,5,Unf,2,1921,1921,2009,163500
MetalSd,190,OldTown,6,TA,Ex,2,9,Unf,2,1910,1900,2007,133900
VinylSd,60,CollgCr,6,Gd,Ex,2,7,RFn,2,1997,1997,2007,204750
VinylSd,60,Gilbert,6,Gd,Gd,2,6,Fin,2,1993,1993,2009,185000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,1999,1999,2006,214000
HdBoard,20,Edwards,4,TA,TA,1,6,Fin,1,1965,1965,2007,94750
Wd Sdng,30,Edwards,5,TA,Fa,1,5,Unf,1,1920,1920,2010,83000
Plywood,20,NAmes,4,TA,Fa,1,6,NA,0,1959,NA,2010,128950
Plywood,20,NWAmes,6,TA,Gd,2,6,RFn,2,1977,1977,2010,205000
HdBoard,60,SawyerW,6,Gd,TA,2,7,Fin,2,1985,1985,2010,178000
HdBoard,90,SawyerW,5,NA,TA,2,8,Unf,2,1979,1979,2009,118964
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,3,2009,2009,2010,198900
Stucco,50,IDOTRR,7,TA,Ex,1,7,Unf,1,1931,1951,2007,169500
VinylSd,60,Somerst,8,Ex,Ex,2,9,RFn,2,2003,2003,2008,250000
VinylSd,30,OldTown,4,Fa,Gd,1,6,Unf,1,1885,1954,2007,100000
VinylSd,20,OldTown,5,TA,Ex,1,5,Unf,1,1948,1948,2008,115000
CemntBd,50,IDOTRR,5,TA,TA,2,7,NA,0,1919,NA,2007,115000
Plywood,20,NWAmes,6,Gd,Ex,2,7,RFn,2,1977,1977,2010,190000
Wd Sdng,50,Edwards,6,TA,Gd,2,7,Unf,1,1954,1954,2006,136900
VinylSd,80,Gilbert,7,Gd,Ex,2,7,Fin,2,2000,2000,2010,180000
VinylSd,60,CollgCr,7,Ex,Ex,2,10,Fin,3,2007,2007,2007,383970
Wd Sdng,20,Crawfor,6,Gd,TA,2,7,Unf,2,1953,1953,2007,217000
Wd Sdng,70,Crawfor,6,TA,Ex,2,9,Unf,1,1945,1945,2007,259500
MetalSd,160,Somerst,6,Gd,Gd,2,5,Unf,2,1999,1999,2007,176000
Wd Sdng,20,Sawyer,5,TA,TA,1,6,Unf,1,1962,1962,2009,139000
VinylSd,20,Edwards,5,Gd,Gd,1,5,Unf,2,2006,2007,2007,155000
Plywood,60,SawyerW,7,Gd,Gd,3,11,Unf,3,1990,1990,2010,320000
VinylSd,60,CollgCr,6,Gd,Ex,2,8,Fin,2,2005,2005,2006,163990
Plywood,80,ClearCr,6,TA,Ex,1,4,Unf,2,1969,1969,2006,180000
AsbShng,50,IDOTRR,4,TA,Gd,1,4,Unf,1,1939,1979,2007,100000
MetalSd,20,NAmes,6,TA,Gd,1,5,Unf,1,1958,1958,2008,136000
Plywood,120,SawyerW,6,Gd,Ex,2,5,RFn,2,1993,1993,2008,153900
HdBoard,20,NWAmes,6,Gd,TA,2,7,Unf,2,1979,1979,2009,181000
Wd Sdng,190,IDOTRR,6,TA,Gd,1,5,NA,0,1935,NA,2006,84500
Plywood,120,NPkVill,6,Gd,TA,2,5,RFn,2,1976,1977,2007,128000
WdShing,45,OldTown,5,TA,Ex,1,5,NA,0,1930,NA,2007,87000
VinylSd,60,NAmes,6,TA,TA,1,6,RFn,2,1966,1966,2006,155000
Plywood,20,NAmes,5,TA,TA,1,6,RFn,2,1958,1998,2006,150000
MetalSd,60,NAmes,7,TA,Ex,2,8,Fin,2,1966,1966,2006,226000
VinylSd,60,Gilbert,6,Gd,Ex,2,7,RFn,2,2000,2000,2009,244000
MetalSd,20,NAmes,5,TA,Gd,1,7,Unf,2,1959,1974,2007,150750
VinylSd,20,Timber,8,Ex,Ex,2,6,Fin,2,2001,2001,2009,220000
Plywood,20,Sawyer,5,TA,Gd,2,7,RFn,2,1968,1968,2006,180000
Plywood,20,NWAmes,7,TA,Gd,2,7,Unf,2,1970,1970,2008,174000
MetalSd,20,NAmes,5,TA,TA,2,5,RFn,1,1967,1967,2007,143000
VinylSd,90,Mitchel,7,TA,Gd,3,9,Unf,3,1988,1989,2006,171000
VinylSd,60,CollgCr,8,Gd,Ex,2,7,Fin,3,1999,1999,2008,230000
VinylSd,60,CollgCr,6,Gd,Ex,2,7,RFn,2,1997,1997,2009,231500
HdBoard,20,NAmes,4,TA,TA,1,5,NA,0,1971,NA,2010,115000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,Fin,2,2005,2005,2006,260000
BrkFace,50,NAmes,5,TA,Fa,2,6,Unf,2,1952,2000,2010,166000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,1999,1999,2009,204000
HdBoard,90,Sawyer,5,TA,TA,2,10,Unf,2,1963,1963,2006,125000
VinylSd,160,Edwards,6,Gd,Ex,2,7,Unf,2,2004,2004,2006,130000
Wd Sdng,30,BrkSide,5,TA,TA,1,5,Unf,1,1931,1931,2009,105000
VinylSd,60,Gilbert,7,Gd,Ex,2,8,Fin,2,2001,2001,2010,222500
VinylSd,20,SawyerW,7,Gd,Ex,1,6,NA,0,2004,NA,2008,141000
MetalSd,50,BrkSide,5,Gd,Gd,1,7,Unf,1,1936,1936,2006,115000
HdBoard,20,CollgCr,5,TA,TA,1,5,Unf,2,1975,1975,2007,122000
VinylSd,20,NridgHt,8,Ex,Ex,2,6,RFn,3,2007,2007,2008,372402
HdBoard,60,NWAmes,6,TA,Gd,2,8,RFn,2,1971,1971,2006,190000
BrkFace,20,ClearCr,6,Gd,Gd,1,4,RFn,2,1960,1960,2008,235000
Wd Sdng,30,OldTown,6,TA,TA,1,7,Unf,1,1923,1923,2006,125000
Wd Sdng,50,Edwards,6,TA,Fa,1,5,NA,0,1924,NA,2008,79000
Wd Sdng,20,NAmes,5,NA,TA,1,5,Unf,2,1950,1950,2006,109500
VinylSd,60,Timber,8,Ex,Ex,2,8,Fin,3,2009,2009,2010,269500
VinylSd,60,Somerst,7,Gd,Ex,2,8,RFn,2,2004,2004,2010,254900
VinylSd,60,Gilbert,7,Gd,Ex,2,9,RFn,2,2005,2006,2006,320000
Plywood,20,Veenker,6,Gd,TA,2,6,Unf,2,1984,1984,2008,162500
VinylSd,60,NridgHt,9,Ex,Ex,2,10,Fin,3,2003,2003,2008,412500
VinylSd,20,NridgHt,7,Gd,Ex,2,7,RFn,2,2005,2005,2010,220000
MetalSd,45,OldTown,4,TA,Ex,1,4,NA,0,1956,NA,2007,103200
MetalSd,40,OldTown,6,TA,Gd,2,5,Unf,1,1926,1926,2007,152000
Wd Sdng,190,Edwards,5,TA,Gd,2,6,NA,0,1940,NA,2008,127500
Wd Sdng,20,ClearCr,5,TA,Ex,1,7,Fin,1,1955,1955,2009,190000
VinylSd,60,NridgHt,8,Ex,Ex,1,8,Fin,3,2007,2007,2007,325624
VinylSd,60,Gilbert,7,Gd,Ex,2,7,Fin,2,2004,2004,2007,183500
Plywood,20,Timber,8,Gd,TA,2,6,RFn,2,1981,1981,2006,228000
MetalSd,50,OldTown,5,TA,TA,1,7,Unf,2,1941,1991,2007,128500
BrkFace,20,NAmes,6,TA,Fa,1,7,Fin,2,1960,1960,2010,215000
HdBoard,160,StoneBr,7,Gd,Gd,2,5,RFn,2,1987,1987,2006,239000
WdShing,20,NAmes,6,TA,TA,1,6,Unf,2,1961,1961,2008,163000
VinylSd,20,Timber,6,Gd,TA,2,7,Fin,2,1986,1986,2008,184000
WdShing,20,Edwards,6,TA,TA,2,7,Unf,2,1950,1950,2007,243000
Plywood,60,ClearCr,6,Gd,TA,2,8,Unf,2,1988,1988,2007,211000
MetalSd,50,Sawyer,5,TA,Ex,2,8,Unf,2,1958,1958,2006,172500
VinylSd,20,StoneBr,9,Ex,Ex,2,9,Fin,3,2008,2009,2009,501837
Wd Sdng,30,OldTown,5,TA,TA,1,5,Unf,2,1923,1935,2007,100000
MetalSd,160,Somerst,6,Gd,Ex,2,5,Unf,2,2000,2000,2007,177000
Stucco,70,Crawfor,7,Fa,Gd,1,9,Unf,1,1920,1920,2006,200100
Wd Sdng,20,Edwards,5,NA,Ex,1,7,RFn,1,1957,1957,2007,120000
VinylSd,50,OldTown,7,Gd,Ex,2,6,Unf,2,2003,2003,2008,200000
AsbShng,50,BrkSide,5,Fa,Gd,1,5,Unf,2,1908,1986,2006,127000
Wd Sdng,75,OldTown,10,TA,Ex,2,12,Unf,3,1892,1993,2006,475000
HdBoard,80,Mitchel,7,Gd,Ex,2,6,Unf,2,1990,1990,2009,173000
HdBoard,50,OldTown,5,Fa,Ex,2,8,Unf,1,1916,1916,2009,135000
Plywood,90,SawyerW,5,Gd,TA,0,6,Unf,2,1979,1979,2009,153337
CemntBd,120,StoneBr,8,Ex,Ex,1,5,Fin,2,2001,2001,2008,286000
BrkFace,70,Crawfor,8,Gd,TA,2,10,Unf,2,1932,1932,2007,315000
HdBoard,60,NAmes,7,TA,Gd,1,7,Fin,2,1972,1972,2007,184000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,Fin,2,1999,1999,2009,192000
VinylSd,160,Edwards,7,Gd,Ex,2,7,Unf,2,2004,2004,2006,130000
HdBoard,20,CollgCr,5,TA,TA,1,5,Unf,1,1972,1989,2008,127000
Plywood,160,NPkVill,6,Gd,TA,2,7,Unf,2,1976,1976,2009,148500
CemntBd,20,Somerst,7,Ex,Ex,2,8,Fin,3,2007,2007,2007,311872
Stucco,75,NAmes,8,TA,Gd,2,8,Unf,2,1918,1918,2006,235000
Wd Sdng,75,OldTown,6,TA,Ex,1,8,NA,0,1912,NA,2009,104000
VinylSd,20,NridgHt,8,Ex,Ex,2,7,Fin,3,2004,2004,2009,274900
VinylSd,20,Edwards,4,Gd,Ex,2,5,RFn,2,2003,2003,2010,140000
Plywood,20,Mitchel,6,TA,TA,2,6,Unf,2,1977,1980,2008,171500
MetalSd,50,OldTown,6,Fa,Gd,2,6,Unf,1,1924,1924,2006,112000
VinylSd,120,CollgCr,6,Gd,Ex,1,3,RFn,2,2004,2004,2008,149000
AsbShng,50,OldTown,5,TA,TA,1,5,Unf,1,1947,1948,2009,110000
HdBoard,20,Gilbert,7,Gd,Ex,2,5,RFn,2,1990,1990,2009,180500
HdBoard,20,Sawyer,5,TA,TA,1,8,RFn,1,1962,1962,2007,143900
Wd Sdng,20,NAmes,4,TA,TA,1,6,RFn,1,1960,1960,2008,141000
Plywood,60,SawyerW,7,Gd,Ex,2,7,Fin,2,1988,1988,2007,277000
HdBoard,20,NAmes,6,Gd,Ex,1,6,RFn,2,1964,1964,2008,145000
Stucco,30,Edwards,5,TA,TA,1,5,NA,0,1925,NA,2008,98000
VinylSd,20,Edwards,6,Gd,Ex,2,6,RFn,2,2009,2009,2010,186000
VinylSd,60,Somerst,7,Gd,Ex,2,7,RFn,2,2009,2009,2009,252678
VinylSd,20,CollgCr,5,Gd,Ex,1,5,Unf,2,1995,1996,2006,156000
HdBoard,60,CollgCr,6,Gd,Ex,1,6,Fin,1,1977,1977,2010,161750
HdBoard,20,NAmes,5,TA,TA,1,6,Unf,1,1957,1957,2006,134450
VinylSd,20,CollgCr,7,Gd,Ex,2,8,Unf,2,2004,2004,2008,210000
MetalSd,70,OldTown,4,TA,Fa,1,8,Unf,1,1925,1940,2006,107000
VinylSd,50,Crawfor,7,TA,Ex,1,8,Unf,2,1939,1939,2008,311500
VinylSd,120,Blmngtn,7,Gd,Ex,2,5,Fin,2,2005,2005,2006,167240
VinylSd,20,CollgCr,7,Gd,Ex,2,5,RFn,2,2006,2006,2006,204900
VinylSd,60,Gilbert,6,Gd,Ex,2,8,RFn,2,2002,2002,2009,200000
VinylSd,60,NWAmes,6,Gd,TA,2,6,RFn,2,1975,1975,2006,179900
HdBoard,20,NAmes,4,TA,Gd,1,4,Unf,2,1971,1989,2009,97000
VinylSd,20,NridgHt,10,Ex,Ex,2,8,Fin,3,2003,2003,2009,386250
HdBoard,160,BrDale,5,TA,TA,2,6,Unf,1,1971,1991,2009,112000
VinylSd,60,NoRidge,7,Gd,Ex,2,9,RFn,3,1995,1995,2007,290000
HdBoard,160,BrDale,6,TA,TA,1,5,Unf,1,1970,1987,2008,106000
HdBoard,20,Sawyer,5,TA,TA,1,5,Unf,1,1967,1974,2010,125000
VinylSd,120,Blmngtn,7,Gd,Ex,2,7,Fin,2,2005,2005,2009,192500
MetalSd,20,NAmes,6,TA,TA,1,6,RFn,1,1959,1959,2010,148000
VinylSd,60,NoRidge,8,Gd,Ex,2,9,Fin,3,1995,1995,2009,403000
HdBoard,160,BrDale,6,TA,TA,1,5,Unf,1,1972,1972,2006,94500
HdBoard,20,CollgCr,5,TA,TA,1,5,Unf,1,1976,1976,2010,128200
VinylSd,60,Gilbert,6,Gd,Ex,2,8,Fin,2,2002,2002,2010,216500
HdBoard,160,BrDale,6,TA,TA,1,5,Unf,1,1971,1971,2008,89500
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2004,2004,2010,185500
HdBoard,60,SawyerW,7,Gd,Ex,2,7,RFn,2,1993,1993,2010,194500
VinylSd,20,NridgHt,8,Ex,Ex,2,7,Fin,3,2007,2007,2007,318000
VinylSd,50,Edwards,6,TA,TA,1,7,Unf,1,1945,1949,2010,113000
VinylSd,20,Somerst,8,Gd,Ex,2,7,RFn,2,2008,2008,2010,262500
VinylSd,30,OldTown,5,TA,Gd,1,4,NA,0,1945,NA,2007,110500
Wd Sdng,50,OldTown,5,TA,Gd,1,6,Unf,1,1900,1940,2006,79000
Plywood,160,SawyerW,6,Gd,TA,1,6,RFn,1,1980,1980,2009,120000
VinylSd,60,SawyerW,7,Gd,Ex,2,8,RFn,2,1994,1994,2010,205000
Wd Sdng,20,NWAmes,7,Gd,Gd,2,6,Fin,2,1988,1988,2006,241500
AsbShng,190,OldTown,6,Fa,Gd,2,9,Unf,1,1910,1910,2006,137000
Wd Sdng,20,NAmes,6,TA,Ex,1,5,Unf,2,1954,1954,2006,140000
VinylSd,60,CollgCr,7,Gd,Ex,2,8,RFn,2,2003,2003,2007,180000
Wd Sdng,50,ClearCr,6,Gd,Gd,2,7,Fin,2,1958,1958,2007,277000
Wd Sdng,30,BrkSide,3,TA,Ex,1,6,NA,0,1940,NA,2010,76500
VinylSd,120,Crawfor,8,Gd,Ex,2,5,Fin,2,2006,2006,2007,235000
VinylSd,60,SawyerW,6,Gd,Ex,2,6,RFn,2,2004,2004,2008,173000
HdBoard,80,NAmes,6,Gd,Ex,2,7,RFn,1,1964,1964,2007,158000
MetalSd,20,NAmes,5,TA,TA,1,5,RFn,1,1957,1957,2010,145000
VinylSd,60,Gilbert,7,Gd,Ex,2,8,Fin,2,1999,1999,2006,230000
VinylSd,60,Somerst,6,Gd,Ex,2,7,RFn,2,2003,2003,2008,207500
VinylSd,20,CollgCr,7,Gd,Ex,2,8,RFn,2,2006,2006,2009,220000
VinylSd,60,CollgCr,7,Gd,Ex,2,7,RFn,2,2001,2001,2008,231500
BrkFace,20,OldTown,5,NA,Gd,1,4,Unf,1,1956,1956,2008,97000
Wd Sdng,80,NAmes,6,TA,TA,1,6,Unf,2,1962,1991,2009,176000
CemntBd,60,CollgCr,8,Ex,Ex,2,10,Fin,3,2007,2007,2007,276000
HdBoard,80,Sawyer,6,Gd,TA,1,6,Unf,2,1977,1978,2006,151000
Wd Sdng,50,OldTown,5,TA,TA,1,6,Unf,2,1929,1974,2010,130000
Wd Sdng,30,OldTown,5,Fa,Gd,1,4,Unf,2,1925,1965,2008,73000
MetalSd,20,NWAmes,6,Gd,TA,2,7,Fin,2,1981,1981,2008,175500
VinylSd,60,Gilbert,6,Gd,Gd,2,8,Fin,2,1997,1997,2006,185000
Wd Sdng,75,SWISU,5,TA,Ex,2,8,Unf,1,1939,1939,2008,179500
VinylSd,30,IDOTRR,5,TA,Ex,1,4,Fin,1,1940,1966,2008,120500
HdBoard,20,Edwards,6,TA,TA,1,6,RFn,1,1976,1987,2007,148000
VinylSd,60,Somerst,8,Gd,Gd,2,8,RFn,3,2006,2006,2006,266000
Plywood,20,ClearCr,7,Gd,Ex,1,5,Unf,2,1954,1954,2008,241500
VinylSd,60,NoRidge,8,Gd,Ex,2,9,Fin,3,1999,1999,2010,290000
Wd Sdng,20,NAmes,6,TA,Gd,2,6,RFn,1,1958,1958,2009,139000
HdBoard,20,Mitchel,5,TA,TA,1,5,Unf,1,1982,1982,2007,124500
Wd Sdng,50,BrkSide,7,TA,Gd,2,5,Unf,2,1925,1978,2009,205000
VinylSd,20,Mitchel,7,Ex,Ex,2,7,Fin,2,2003,2003,2010,201000
VinylSd,20,Gilbert,4,TA,Ex,1,4,Unf,2,1951,1951,2010,141000
CemntBd,20,NridgHt,9,Ex,Ex,2,8,Fin,3,2006,2007,2007,415298
Plywood,60,ClearCr,7,Gd,Ex,2,8,Fin,2,1977,1977,2008,192000
Plywood,60,SawyerW,7,Gd,Gd,2,7,Fin,2,1989,1989,2007,228500
VinylSd,20,Somerst,6,Gd,Gd,2,5,Fin,2,2006,2006,2006,185000
VinylSd,120,NridgHt,7,Gd,Ex,2,6,RFn,2,2007,2008,2009,207500
VinylSd,20,Somerst,8,Gd,Ex,2,6,Fin,3,2008,2008,2009,244600
Plywood,120,SawyerW,6,Gd,Gd,2,5,RFn,2,1992,1992,2007,179200
MetalSd,160,Somerst,7,Gd,Ex,2,5,RFn,2,2006,2006,2007,164700
Wd Sdng,50,NAmes,6,TA,TA,1,7,RFn,2,1962,1962,2006,159000
HdBoard,20,NAmes,4,TA,TA,1,5,NA,0,1971,NA,2006,88000
MetalSd,20,Sawyer,5,TA,TA,1,5,Unf,1,1967,1970,2010,122000
Wd Sdng,70,BrkSide,6,TA,Ex,1,7,Unf,1,1915,2003,2007,153575
