Exterior1st,MSSubClass,Neighborhood,OverallQual,BsmtQual,HeatingQC,FullBath,TotRmsAbvGrd,GarageFinish,GarageCars,YearBuilt,GarageYrBlt,YrSold,SalePrice
HdBoard,90,Edwards,6,Gd,TA,1,5,NA,0,1990,NA,2007,118500
Wd Sdng,75,OldTown,10,TA,Gd,3,9,Unf,2,1893,1988,2008,325000
AsbShng,50,BrkSide,4,TA,Ex,1,6,Unf,1,1935,1935,2009,133000
VinylSd,20,Timber,8,Ex,Ex,2,7,RFn,3,2005,2005,2006,369900
Stucco,30,BrkSide,6,TA,Ex,1,5,Fin,1,1918,1961,2008,130000
HdBoard,85,Sawyer,5,TA,TA,1,4,Unf,2,1982,1996,2009,137000
Wd Sdng,20,ClearCr,5,TA,Ex,1,5,Unf,1,1968,1968,2009,143000
VinylSd,40,BrkSide,5,TA,TA,1,4,Unf,1,1930,1988,2008,79500
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,2004,2004,2008,185900
CemntBd,60,NridgHt,10,Ex,Ex,2,10,RFn,3,2008,2008,2009,451950
HdBoard,20,Mitchel,5,TA,Ex,1,4,Fin,2,1982,1985,2008,138000
VinylSd,120,CollgCr,6,Gd,Ex,1,4,Fin,2,2003,2003,2009,140000
HdBoard,20,CollgCr,5,Gd,TA,1,5,Unf,1,1975,1981,2008,110000
VinylSd,20,StoneBr,8,Gd,Ex,2,7,Fin,3,2005,2005,2006,319000
VinylSd,70,OldTown,6,TA,Ex,1,7,Unf,1,1910,1930,2006,114504
VinylSd,120,Blmngtn,7,Ex,Ex,0,7,Fin,3,2006,2006,2007,194201
Plywood,20,Crawfor,5,Gd,Ex,2,7,Fin,2,1977,1977,2006,217500
MetalSd,160,Blueste,6,Gd,TA,2,6,Fin,2,1980,1980,2008,151000
VinylSd,60,NridgHt,8,Gd,Ex,2,8,Fin,2,2005,2003,2006,275000
Wd Sdng,50,IDOTRR,6,TA,TA,1,6,Unf,1,1937,1979,2007,141000
HdBoard,60,SawyerW,8,Gd,Ex,2,8,Fin,2,1992,1992,2006,220000
MetalSd,160,Somerst,7,Gd,Ex,2,4,RFn,2,2004,2004,2010,151000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2002,2002,2008,221000
HdBoard,60,NAmes,7,TA,TA,2,7,Unf,2,1965,1965,2009,205000
VinylSd,20,CollgCr,5,Gd,Gd,1,6,Unf,2,1996,2000,2009,152000
MetalSd,20,Edwards,5,TA,Ex,3,8,Unf,1,1948,1948,2006,225000
BrkFace,70,Crawfor,8,Gd,TA,2,10,Unf,2,1934,1934,2007,359100
VinylSd,20,Sawyer,4,TA,Gd,1,5,Unf,1,1961,1961,2007,118500
VinylSd,60,CollgCr,9,Ex,Ex,2,8,Fin,3,2000,2000,2009,313000
HdBoard,80,NWAmes,6,Gd,TA,2,6,Unf,2,1978,1978,2007,148000
VinylSd,60,CollgCr,8,Gd,Ex,2,7,RFn,2,2001,2001,2009,261500
VinylSd,20,Mitchel,5,Gd,Ex,1,6,NA,0,2007,NA,2007,147000
CemntBd,180,MeadowV,4,Gd,Ex,1,3,NA,0,1972,NA,2010,75500
MetalSd,85,NAmes,6,TA,Ex,1,6,RFn,2,1963,1963,2010,137500
VinylSd,60,Gilbert,6,Gd,Ex,2,7,Fin,2,2002,2002,2006,183200
MetalSd,45,NAmes,6,TA,Gd,1,4,Unf,2,1954,1962,2008,105500
CemntBd,20,NridgHt,9,Ex,Ex,2,9,Unf,3,2007,2007,2007,314813
VinylSd,60,Timber,8,Gd,Ex,2,10,Fin,3,2003,2003,2008,305000
Stucco,30,Edwards,3,TA,TA,1,5,NA,0,1914,NA,2008,67000
HdBoard,60,NWAmes,6,TA,TA,2,9,RFn,2,1974,1974,2008,240000
Plywood,20,Sawyer,5,TA,TA,1,6,Unf,2,1977,1986,2009,135000
MetalSd,160,Somerst,6,Gd,Ex,2,4,Unf,2,2000,2000,2007,168500
VinylSd,60,NWAmes,6,TA,Gd,1,8,RFn,2,1972,1972,2006,165150
Wd Sdng,20,NAmes,6,TA,TA,1,5,Unf,2,1962,1962,2010,160000
Wd Sdng,20,NAmes,5,TA,TA,1,6,RFn,1,1960,1960,2007,139900
AsbShng,80,NAmes,6,TA,Ex,1,7,RFn,1,1955,1955,2010,153000
Plywood,60,NAmes,5,Gd,TA,1,9,Unf,2,1969,1969,2007,135000
Plywood,80,NAmes,6,TA,TA,1,6,RFn,2,1964,1964,2008,168500
VinylSd,70,OldTown,5,Fa,TA,1,8,Unf,1,1880,1937,2006,124000
VinylSd,120,NridgHt,8,Gd,Ex,2,6,RFn,2,2006,2006,2007,209500
Plywood,20,NWAmes,7,TA,TA,2,6,Fin,2,1977,1977,2009,82500
Wd Sdng,20,NAmes,5,TA,TA,1,6,Unf,1,1954,1954,2007,139400
Plywood,90,OldTown,6,TA,Gd,0,4,Unf,2,1980,1980,2010,144000
VinylSd,190,SWISU,6,TA,Ex,2,14,NA,0,1914,NA,2007,200000
AsbShng,30,BrkSide,2,TA,Fa,1,4,NA,0,1936,NA,2009,60000
Wd Sdng,190,OldTown,5,TA,TA,2,7,Unf,1,1954,1954,2009,93000
MetalSd,30,Edwards,5,Fa,Gd,1,4,NA,0,1910,NA,2008,85000
VinylSd,120,Blmngtn,8,Gd,Ex,2,7,Fin,3,2006,2006,2006,264561
MetalSd,120,NridgHt,8,Ex,Ex,1,6,RFn,2,2003,2003,2008,274000
VinylSd,60,Somerst,7,Gd,Ex,2,7,Fin,2,2001,2001,2007,226000
Plywood,80,NAmes,8,Gd,Gd,2,9,Fin,2,1972,1972,2009,345000
WdShing,60,NWAmes,5,TA,Ex,2,7,Fin,2,1969,1969,2007,152000
CemntBd,20,Somerst,9,Ex,Ex,2,7,Fin,3,2009,2009,2009,370878
Plywood,20,NAmes,6,TA,TA,1,5,Unf,2,1971,1979,2007,143250
MetalSd,20,NAmes,5,NA,Gd,1,7,Unf,2,1950,1950,2008,98300
Wd Sdng,20,Edwards,6,TA,Ex,1,5,RFn,2,1953,1953,2008,155000
MetalSd,60,NAmes,6,TA,TA,1,7,Unf,2,1966,1966,2010,155000
CemntBd,180,MeadowV,4,Gd,Gd,1,3,NA,0,1970,NA,2007,84500
CemntBd,60,Somerst,7,Gd,Ex,2,7,RFn,2,2007,2007,2008,205950
MetalSd,70,Edwards,4,TA,TA,1,7,Unf,1,1940,1940,2009,108000
VinylSd,60,CollgCr,7,Gd,Ex,2,7,RFn,2,1996,1996,2009,191000
MetalSd,50,IDOTRR,6,TA,Ex,1,7,Unf,1,1906,1906,2008,135000
MetalSd,20,NoRidge,8,Gd,Ex,2,7,Fin,3,1995,1995,2008,350000
HdBoard,160,BrDale,6,TA,TA,1,6,Unf,1,1971,1971,2010,88000
HdBoard,20,NAmes,5,TA,Ex,1,5,RFn,1,1959,1959,2008,145500
Stucco,70,Crawfor,7,Gd,TA,1,6,RFn,1,1931,1931,2008,149000
VinylSd,50,NAmes,6,TA,TA,1,6,Unf,1,1948,1948,2010,97500
MetalSd,20,Edwards,5,TA,Ex,1,7,Fin,2,1964,1968,2009,167000
Plywood,60,NWAmes,7,Gd,TA,2,7,RFn,2,1976,1976,2007,197900
VinylSd,60,NoRidge,8,Gd,Ex,2,8,RFn,3,1994,1994,2009,402000
Wd Sdng,20,NAmes,6,Fa,Gd,1,5,RFn,2,1968,1968,2009,110000
Plywood,85,Edwards,4,Gd,TA,2,6,RFn,2,1972,1974,2008,137500
VinylSd,20,Somerst,8,Ex,Ex,1,8,Fin,3,2005,2005,2006,423000
VinylSd,60,Gilbert,8,Gd,Ex,2,7,RFn,2,2000,2000,2006,230500
Plywood,60,NAmes,6,Gd,TA,2,7,Unf,2,1965,1965,2007,129000
HdBoard,20,SawyerW,6,Gd,Ex,2,7,RFn,2,1994,1994,2008,193500
CemntBd,20,Sawyer,5,TA,Gd,1,6,Unf,2,1956,1999,2006,168000
MetalSd,30,Crawfor,4,Fa,Ex,1,5,Unf,1,1922,1922,2006,137500
VinylSd,60,CollgCr,6,Gd,Ex,2,7,Fin,2,2005,2005,2009,173500
Wd Sdng,70,Edwards,6,TA,TA,2,6,Unf,1,1925,1930,2009,103600
Plywood,20,Veenker,6,Gd,TA,1,6,RFn,2,1977,1977,2006,165000
CemntBd,20,Crawfor,6,TA,Ex,2,7,Fin,2,1957,1957,2007,257500
HdBoard,20,NAmes,6,TA,TA,1,5,RFn,1,1965,1965,2008,140000
Plywood,160,NPkVill,6,TA,TA,2,7,Unf,2,1978,1978,2009,148500
AsbShng,70,OldTown,4,TA,Fa,2,8,Unf,3,1900,1920,2006,87000
VinylSd,30,OldTown,5,TA,Ex,1,5,Unf,1,1924,1924,2009,109500
VinylSd,20,StoneBr,8,Ex,Ex,2,7,Fin,3,2008,2008,2009,372500
Wd Sdng,20,Sawyer,5,TA,TA,1,5,Unf,2,1961,1963,2007,128500
Plywood,120,SawyerW,6,Gd,TA,2,5,RFn,1,1980,1980,2010,143000
VinylSd,50,SWISU,5,TA,Ex,1,6,Unf,1,1932,1968,2009,159434
Wd Sdng,120,ClearCr,6,Gd,Ex,1,6,Unf,2,1996,1996,2008,173000
VinylSd,20,CollgCr,9,Gd,Ex,2,7,Fin,3,2002,2002,2007,285000
VinylSd,60,NoRidge,7,Gd,Gd,2,7,Fin,2,1998,1998,2010,221000
HdBoard,160,StoneBr,7,Gd,Gd,2,6,Fin,2,1984,1984,2007,207500
VinylSd,60,Somerst,7,Gd,Ex,3,7,Fin,2,2007,2007,2007,227875
MetalSd,160,Somerst,7,Gd,Ex,2,4,Unf,2,2004,2004,2007,148800
MetalSd,20,StoneBr,8,Gd,Ex,2,7,RFn,2,2007,2007,2007,392000
VinylSd,120,NridgHt,6,Gd,Ex,2,6,RFn,2,2005,2005,2007,194700
VinylSd,120,CollgCr,6,Gd,Ex,1,3,RFn,2,2004,2004,2008,141000
HdBoard,60,NoRidge,10,Ex,Ex,3,10,Fin,3,1994,1994,2007,755000
MetalSd,60,Timber,7,Gd,Ex,2,9,RFn,2,1989,1989,2006,335000
MetalSd,30,OldTown,5,TA,Ex,1,4,Unf,1,1921,1968,2006,108480
Wd Sdng,50,BrkSide,5,TA,TA,1,5,Unf,2,1936,1995,2009,141500
HdBoard,20,Timber,6,Gd,Gd,2,5,Unf,2,1987,1987,2006,176000
Wd Sdng,30,BrkSide,5,TA,Gd,1,4,Unf,1,1921,1921,2006,89000
Wd Sdng,20,Edwards,5,Ex,Fa,1,6,Unf,1,1952,1952,2006,123500
MetalSd,20,Sawyer,5,TA,Ex,1,5,Unf,1,1965,1973,2010,138500
MetalSd,120,Somerst,7,Gd,Ex,2,5,RFn,2,2004,2004,2008,196000
VinylSd,20,Timber,8,Ex,Ex,2,7,Fin,3,2002,2002,2006,312500
HdBoard,20,NWAmes,7,TA,TA,1,6,Unf,2,1969,1969,2006,140000
VinylSd,60,StoneBr,8,Ex,Ex,2,10,Fin,3,2006,2006,2006,361919
Wd Sdng,190,OldTown,5,Gd,Gd,2,8,Unf,2,1900,1999,2010,140000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,2,2004,2004,2010,213000
VinylSd,190,IDOTRR,4,NA,Fa,2,7,NA,0,1930,NA,2010,55000
Plywood,20,ClearCr,7,Gd,TA,2,5,Unf,2,1971,1971,2007,302000
MetalSd,120,NridgHt,8,Gd,Ex,2,6,Fin,2,2006,2006,2009,254000
VinylSd,60,Gilbert,7,Gd,Ex,2,8,Fin,2,2007,2007,2007,179540
HdBoard,20,Sawyer,5,TA,TA,1,6,Unf,1,1966,1966,2008,109900
VinylSd,30,BrkSide,3,TA,Gd,1,5,NA,0,1935,NA,2008,52000
MetalSd,50,IDOTRR,4,TA,Gd,1,7,RFn,1,1900,1964,2010,102776
HdBoard,120,StoneBr,8,Gd,Gd,2,5,Fin,2,1988,1988,2008,189000
HdBoard,190,BrkSide,4,TA,TA,1,6,Unf,2,1970,1970,2006,129000
HdBoard,60,Sawyer,6,TA,Ex,2,6,RFn,2,1976,1976,2010,130500
HdBoard,20,NWAmes,6,Gd,TA,2,7,RFn,2,1974,1974,2009,165000
Wd Sdng,70,OldTown,7,TA,Ex,1,8,Unf,2,1890,1996,2007,159500
HdBoard,20,NWAmes,5,Gd,Gd,1,5,Unf,2,1973,1973,2008,157000
Wd Sdng,60,NoRidge,7,Gd,Ex,2,9,RFn,3,1993,1993,2008,341000
HdBoard,20,CollgCr,5,Gd,TA,1,5,Unf,1,1969,1969,2006,128500
HdBoard,120,StoneBr,8,Gd,TA,2,5,RFn,2,1985,1985,2006,275000
VinylSd,120,CollgCr,6,Gd,Ex,1,3,RFn,2,2004,2004,2010,143000
MetalSd,20,NAmes,4,TA,Ex,1,5,Unf,2,1970,1994,2009,124500
MetalSd,50,Edwards,4,TA,Ex,2,7,Unf,1,1954,1958,2008,135000
CemntBd,20,Edwards,9,Ex,Ex,2,8,Fin,3,2007,2007,2009,320000
HdBoard,20,NAmes,4,TA,TA,1,5,Unf,2,1970,1989,2009,120500
Wd Sdng,20,Crawfor,6,Gd,Ex,2,5,Fin,2,1988,1988,2009,222000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2007,2007,2009,194500
VinylSd,90,NAmes,5,TA,TA,2,9,Unf,3,1958,1968,2009,110000
MetalSd,30,IDOTRR,4,TA,TA,1,5,Unf,2,1925,1962,2009,103000
CemntBd,120,StoneBr,8,Gd,Ex,2,5,RFn,2,1995,1995,2010,236500
VinylSd,80,Timber,7,Ex,Ex,2,6,Fin,2,2003,2003,2007,187500
VinylSd,60,CollgCr,7,Gd,Ex,2,8,Fin,2,1998,1998,2008,222500
HdBoard,20,Sawyer,5,TA,Ex,1,6,RFn,1,1961,1961,2009,131400
Plywood,20,Sawyer,5,TA,TA,1,6,Unf,1,1968,1968,2007,108000
Wd Sdng,75,OldTown,7,Gd,Fa,1,6,Unf,2,1914,1914,2006,163000
Stucco,90,NAmes,3,NA,Gd,2,6,Unf,2,1950,1949,2006,93500
VinylSd,60,Gilbert,8,Gd,Ex,2,8,Fin,3,2005,2005,2006,239900
Plywood,90,Edwards,5,Gd,TA,3,5,NA,0,1987,NA,2009,179000
VinylSd,60,CollgCr,7,Gd,Ex,2,7,RFn,2,2004,2004,2009,190000
Wd Sdng,70,OldTown,5,Fa,Ex,2,7,Unf,2,1910,1910,2007,132000
HdBoard,20,Sawyer,6,TA,Gd,1,5,Unf,1,1961,1962,2008,142000
VinylSd,20,SawyerW,7,Gd,Ex,2,6,Unf,2,2000,2000,2007,179000
HdBoard,80,Sawyer,5,Gd,Ex,2,6,RFn,2,1963,1997,2009,175000
HdBoard,120,StoneBr,8,Gd,Gd,2,5,RFn,2,1993,1993,2008,180000
VinylSd,60,NWAmes,8,TA,Ex,3,11,Fin,2,1976,1994,2008,299800
VinylSd,60,Gilbert,7,Gd,Ex,2,8,Fin,2,2000,2000,2009,236000
Stucco,70,OldTown,7,TA,TA,1,8,Unf,4,1880,1950,2009,265979
VinylSd,20,NoRidge,7,Gd,Ex,2,7,Fin,2,1996,1996,2010,260400
WdShing,50,Edwards,4,NA,TA,2,9,Unf,1,1945,1945,2009,98000
Wd Sdng,50,OldTown,4,TA,Gd,1,7,NA,0,1910,NA,2010,96500
VinylSd,60,Gilbert,7,Gd,Ex,2,6,Fin,2,2003,2003,2007,162000
VinylSd,20,CollgCr,6,Gd,Ex,2,6,RFn,2,1997,1997,2006,217000
VinylSd,60,NridgHt,8,Gd,Gd,2,8,RFn,3,2005,2005,2006,275500
Plywood,20,NAmes,6,TA,Gd,1,5,RFn,2,1969,1969,2009,156000
MetalSd,160,Somerst,6,Gd,Gd,2,6,Unf,2,1999,1999,2009,172500
VinylSd,60,CollgCr,8,Gd,Ex,2,7,RFn,2,2007,2007,2009,212000
HdBoard,60,Sawyer,6,TA,TA,2,6,Fin,2,1978,1978,2010,158900
MetalSd,160,Somerst,7,Gd,Gd,2,6,Unf,2,1999,1999,2008,179400
VinylSd,60,NoRidge,8,Gd,Ex,2,9,RFn,3,1995,1995,2007,290000
Wd Sdng,20,NAmes,6,TA,Ex,1,5,Unf,1,1959,2008,2009,127500
Wd Sdng,30,BrkSide,5,TA,TA,1,5,Unf,2,1924,1965,2009,100000
VinylSd,60,Somerst,7,Gd,Ex,2,7,Unf,2,2009,2009,2010,215200
VinylSd,60,NoRidge,8,Gd,Ex,2,8,RFn,3,1999,1999,2009,337000
BrkFace,120,Veenker,8,Gd,Ex,1,6,Fin,2,1995,1995,2006,270000
VinylSd,20,Somerst,9,Gd,Ex,2,6,Fin,2,2008,2008,2008,264132
HdBoard,60,NWAmes,7,Gd,TA,2,7,Unf,2,1988,1988,2010,196500
VinylSd,50,Mitchel,6,Gd,Ex,2,7,Unf,1,1940,1989,2008,160000
VinylSd,20,CollgCr,7,Gd,Ex,2,8,Fin,2,2004,2004,2006,216837
CemntBd,60,StoneBr,8,Gd,Ex,3,12,Fin,3,2003,2003,2010,538000
Wd Sdng,85,Sawyer,5,Gd,TA,1,5,Unf,2,1982,1983,2009,134900
Wd Sdng,20,Edwards,4,Fa,TA,1,6,Unf,2,1951,1951,2006,102000
Plywood,80,Edwards,6,TA,TA,1,6,Unf,2,1976,1976,2010,107000
Wd Sdng,20,NAmes,5,TA,Ex,1,5,RFn,1,1958,1958,2007,114500
VinylSd,20,NridgHt,8,Gd,Gd,2,9,Fin,3,2006,2006,2007,395000
VinylSd,120,Mitchel,6,Ex,Ex,2,5,Fin,2,1998,1998,2009,162000
VinylSd,20,CollgCr,7,Gd,Ex,2,7,RFn,3,2005,2005,2006,221500
HdBoard,20,Sawyer,5,TA,TA,1,5,Unf,2,1974,1974,2006,142500
Plywood,90,SawyerW,5,NA,TA,2,10,Unf,2,1977,1977,2007,144000
Plywood,90,Mitchel,6,Gd,TA,1,4,Unf,2,1977,1977,2006,135000
HdBoard,20,Gilbert,7,Gd,Gd,2,6,Fin,2,1995,1995,2007,176000
VinylSd,60,SawyerW,6,Gd,Ex,2,7,RFn,2,1992,1992,2006,175900
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,2001,2001,2009,187100
Plywood,85,Mitchel,5,Gd,Ex,1,4,Fin,2,1978,1978,2009,165500
Wd Sdng,75,OldTown,6,TA,Ex,2,9,NA,0,1914,NA,2008,128000
BrkFace,20,NWAmes,6,TA,TA,2,7,Unf,2,1967,1967,2009,161500
MetalSd,50,OldTown,5,Fa,TA,2,7,Unf,1,1915,1961,2010,139000
VinylSd,60,SawyerW,7,Gd,Ex,2,8,RFn,2,2004,2004,2010,233000
MetalSd,20,OldTown,4,TA,Ex,1,4,Unf,1,1954,1954,2008,107900
HdBoard,60,ClearCr,6,TA,Gd,2,9,Fin,2,1966,1966,2007,187500
VinylSd,120,Blmngtn,7,Gd,Ex,2,5,Fin,2,2005,2005,2009,160200
HdBoard,80,Mitchel,6,Gd,TA,1,5,RFn,2,1976,1976,2007,146800
MetalSd,60,NoRidge,7,Gd,Ex,2,8,Unf,2,1996,1997,2007,269790
CemntBd,20,Somerst,8,Gd,Ex,2,7,Fin,2,2007,2007,2007,225000
MetalSd,60,Gilbert,7,Gd,Ex,2,7,Fin,2,1994,1994,2008,194500
HdBoard,60,SawyerW,6,Gd,TA,2,7,Unf,2,1980,1980,2010,171000
Plywood,20,Sawyer,6,TA,Ex,1,7,RFn,2,1977,1977,2007,143500
VinylSd,20,NAmes,5,TA,Gd,1,4,Unf,1,1953,1953,2008,110000
VinylSd,60,NridgHt,9,Ex,Ex,3,11,Fin,3,2008,2009,2009,485000
Wd Sdng,50,SWISU,5,Gd,Ex,1,7,Unf,1,1937,1939,2007,175000
VinylSd,60,ClearCr,6,Gd,Gd,2,8,RFn,2,1997,1997,2008,200000
MetalSd,30,IDOTRR,4,TA,Ex,1,5,Unf,2,1916,1957,2007,109900
WdShing,60,CollgCr,7,Gd,Ex,2,7,Fin,2,2005,2005,2008,189000
VinylSd,60,NridgHt,9,Ex,Ex,3,12,RFn,3,2008,2009,2009,582933
Wd Sdng,20,NAmes,5,TA,TA,1,5,Unf,1,1954,1954,2006,118000
VinylSd,20,Somerst,7,Gd,Ex,2,6,RFn,2,2008,2008,2008,227680
VinylSd,80,NAmes,5,TA,Gd,2,6,Fin,1,1967,1967,2006,135500
Wd Sdng,70,BrkSide,5,TA,Ex,1,6,RFn,2,1923,1923,2009,223500
VinylSd,80,NAmes,5,TA,TA,1,6,RFn,2,1966,1966,2006,159950
AsbShng,75,OldTown,5,TA,TA,2,11,Unf,2,1898,1910,2009,106000
HdBoard,20,NWAmes,6,TA,Fa,1,5,RFn,2,1974,1974,2006,181000
VinylSd,120,CollgCr,6,Gd,Ex,1,4,Fin,2,2004,2004,2008,144500
Wd Sdng,20,IDOTRR,5,TA,TA,1,4,Unf,2,1952,1952,2010,55993
MetalSd,20,NAmes,6,TA,Gd,1,7,RFn,1,1958,1958,2007,157900
Stucco,50,Edwards,5,TA,Gd,1,7,Unf,1,1918,1955,2006,116000
VinylSd,20,CollgCr,7,Gd,Ex,2,6,RFn,2,1998,1998,2010,224900
BrkFace,20,NAmes,5,TA,Gd,1,4,RFn,1,1954,1954,2006,137000
CemntBd,20,Mitchel,8,Gd,Ex,2,7,RFn,3,2002,2002,2008,271000
HdBoard,80,ClearCr,6,TA,Gd,1,6,Unf,2,1971,1971,2010,155000
VinylSd,120,NridgHt,7,Gd,Ex,2,6,RFn,2,2009,2010,2010,224000
VinylSd,60,CollgCr,7,Gd,Ex,2,6,RFn,2,2003,2003,2008,183000
MetalSd,20,OldTown,4,Fa,TA,1,4,Unf,2,1953,1974,2009,93000
VinylSd,60,Gilbert,7,Gd,Ex,2,7,Fin,2,2003,2003,2007,225000
VinylSd,50,SWISU,6,TA,TA,2,7,Unf,1,1940,1940,2009,139500
VinylSd,20,Somerst,8,Gd,Ex,2,7,RFn,2,2006,2006,2006,232600
CemntBd,20,NridgHt,10,Ex,Ex,2,7,Fin,3,2007,2007,2008,385000
MetalSd,45,BrkSide,5,TA,Gd,1,5,NA,0,1924,NA,2008,109500
VinylSd,20,SawyerW,7,Gd,Ex,2,6,RFn,2,2001,2001,2009,189000
Plywood,60,ClearCr,5,TA,TA,2,7,Fin,2,1967,1967,2009,185000
MetalSd,160,Somerst,7,Gd,Ex,2,4,RFn,2,2005,2005,2006,147400
HdBoard,20,NAmes,6,TA,TA,1,6,RFn,2,1957,1957,2008,166000
MetalSd,160,Somerst,7,Gd,Ex,2,4,RFn,2,2005,2005,2006,151000
VinylSd,60,CollgCr,7,Gd,Ex,2,7,RFn,2,2003,2003,2010,237000
HdBoard,20,NAmes,6,TA,TA,1,6,RFn,2,1964,1964,2009,167000
VinylSd,20,NAmes,5,TA,Gd,1,6,Unf,2,1961,1961,2008,139950
VinylSd,20,Sawyer,4,Gd,TA,2,4,Unf,2,1950,1996,2010,128000
VinylSd,30,OldTown,5,TA,Gd,1,5,Unf,2,1948,1948,2007,153500
HdBoard,160,BrDale,6,TA,TA,1,5,Unf,1,1973,1973,2008,100000
VinylSd,20,CollgCr,5,Gd,Ex,1,6,Unf,1,1995,1999,2008,144000
MetalSd,50,Edwards,5,TA,Ex,1,6,Unf,1,1946,1946,2008,130500
Wd Sdng,70,SWISU,6,TA,TA,2,7,Unf,1,1925,1934,2008,140000
MetalSd,70,OldTown,5,TA,Gd,2,8,Unf,2,1904,1983,2008,157500
HdBoard,80,NAmes,6,TA,TA,1,6,RFn,2,1966,1966,2008,174900
BrkFace,90,NAmes,5,TA,Ex,2,10,NA,0,1961,NA,2007,141000
Wd Sdng,50,OldTown,5,TA,Gd,1,7,Unf,3,1915,1949,2008,153900
HdBoard,85,Sawyer,5,Gd,TA,2,6,Fin,2,1975,1975,2007,171000
HdBoard,60,SawyerW,7,Gd,Ex,2,7,Unf,2,1993,1993,2009,213000
HdBoard,20,CollgCr,5,TA,Ex,1,5,Unf,1,1972,1972,2009,133500
Wd Sdng,50,ClearCr,6,TA,TA,3,10,Unf,2,1908,1908,2008,240000
Plywood,80,Veenker,6,TA,Ex,2,7,RFn,2,1976,1976,2007,187000
VinylSd,120,CollgCr,6,Gd,Ex,1,3,Fin,2,2003,2003,2007,131500
VinylSd,120,Blmngtn,8,Gd,Ex,2,7,Fin,2,2003,2003,2006,215000
MetalSd,75,Crawfor,7,TA,Gd,2,7,Unf,1,1941,1941,2007,164000
MetalSd,80,NAmes,6,TA,TA,1,7,RFn,2,1964,1964,2009,158000
Wd Sdng,20,Sawyer,5,TA,TA,1,6,Unf,2,1955,1955,2006,170000
HdBoard,20,Sawyer,5,TA,Ex,1,6,Unf,1,1962,1962,2010,127000
Plywood,80,CollgCr,6,Gd,TA,1,5,Unf,2,1978,1981,2008,147000
HdBoard,60,Gilbert,6,Gd,Gd,2,6,Fin,2,1994,1994,2009,174000
HdBoard,20,NWAmes,7,Gd,TA,2,6,RFn,2,1976,1976,2009,152000
HdBoard,60,NWAmes,6,TA,TA,2,9,Unf,2,1968,1968,2006,250000
Wd Sdng,50,Crawfor,7,TA,Gd,1,7,Unf,1,1918,1925,2007,189950
Plywood,190,Sawyer,5,TA,Ex,1,6,Unf,2,1965,1965,2010,131500
HdBoard,20,SawyerW,6,Gd,TA,2,6,Unf,2,1984,1986,2010,152000
BrkFace,20,NAmes,5,TA,TA,1,6,Unf,1,1959,1959,2009,132500
VinylSd,20,Somerst,7,Ex,Ex,2,6,Fin,2,2007,2008,2008,250580
MetalSd,20,NAmes,5,TA,TA,1,5,Unf,2,1970,1973,2009,148500
VinylSd,20,Timber,8,Gd,Ex,2,6,RFn,3,2006,2007,2007,248900
VinylSd,20,Sawyer,4,TA,TA,1,5,RFn,2,1961,1961,2007,129000
Plywood,60,Gilbert,5,NA,Gd,2,7,Unf,2,1948,1979,2006,169000
MetalSd,60,SawyerW,7,Gd,Ex,2,8,Fin,2,1993,1993,2010,236000
MetalSd,20,NAmes,5,TA,Gd,1,5,Unf,1,1962,1962,2009,109500
VinylSd,60,CollgCr,6,Gd,Ex,2,7,RFn,2,1998,1998,2010,200500
WdShing,20,NAmes,5,TA,Gd,1,5,Unf,2,1953,1953,2008,116000
HdBoard,40,NAmes,5,TA,Gd,1,6,Unf,1,1949,1949,2009,133000
